,0,1,2,3,4,5,6,7,8,9,Total,Balance
valid:6000,99.4897959184,99.8237885463,98.7403100775,98.0198019802,99.5926680244,99.2152466368,99.1649269311,99.0272373541,98.0492813142,96.828543112,98.8,98.7951599895
valid:6500,99.7959183673,99.1189427313,99.4186046512,99.504950495,98.5743380855,98.5426008969,98.643006263,98.2490272374,98.9733059548,97.7205153617,98.86,98.8541210044
valid:7000,99.5918367347,99.6475770925,98.7403100775,98.8118811881,98.9816700611,98.7668161435,98.9561586639,98.8326848249,98.7679671458,97.224975223,98.84,98.8321877155
valid:7500,99.693877551,99.6475770925,98.8372093023,98.5148514851,99.7963340122,98.6547085202,98.7473903967,98.7354085603,98.8706365503,97.5222993062,98.91,98.9020292777
valid:8000,99.693877551,99.5594713656,100.0,99.2079207921,99.4908350305,98.3183856502,99.1649269311,97.859922179,98.8706365503,97.621407334,98.99,98.9787383384
valid:8500,99.7959183673,99.7356828194,99.3217054264,99.3069306931,99.2871690428,98.0941704036,99.0605427975,98.7354085603,98.6652977413,97.621407334,98.98,98.9624233186
valid:9000,99.7959183673,99.8237885463,99.3217054264,99.3069306931,99.2871690428,98.8789237668,98.5386221294,99.0272373541,98.7679671458,98.017839445,99.09,99.0766101917
valid:9500,99.5918367347,99.8237885463,99.0310077519,99.0099009901,99.083503055,99.1031390135,99.0605427975,99.2217898833,98.8706365503,97.8196233895,99.07,99.0615768712
valid:10000,99.5918367347,99.295154185,99.3217054264,98.7128712871,98.4725050916,98.8789237668,99.0605427975,99.6108949416,99.0759753593,98.5133795837,99.06,99.0533789174
Train:SEED1017,99.704,99.572,99.22,98.844,99.132,99.128,99.63,99.294,98.942,98.722,99.2188,99.2188
Valid:SEED1017,99.6632653061,99.5947136564,99.2151162791,98.9603960396,99.0733197556,98.7219730942,98.9352818372,98.813229572,98.7474332649,97.6808721506,98.95,98.9405600956
