,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:3000,62.4937280482,67.7872553939,53.162055336,39.3323293173,41.1941044217,53.4591194969,73.5572139303,66.0949540144,76.1320990743,67.8733031674,60.1125,60.10861622
Train:3500,62.7947817361,67.5112895133,37.0800395257,35.3664658635,54.8588558581,64.2767295597,69.4527363184,66.8655232414,80.7355516637,77.5515334339,61.6225,61.6493506714
Train:4000,73.9839438033,78.8258906172,45.256916996,47.2138554217,48.1388958281,56.1509433962,71.1194029851,67.2383793189,75.1063297473,63.1221719457,62.6,62.615673006
Train:4500,66.1314601104,79.9046663322,43.9970355731,38.4789156627,62.8778416188,66.3647798742,68.8059701493,69.5500869998,74.5559169377,70.7139265963,64.1175,64.1380599854
Train:5000,62.3432012042,75.3637732062,43.354743083,38.3534136546,59.605296028,69.0566037736,76.6666666667,71.5137956749,73.7302977233,76.8476621418,64.665,64.6835453156
Train:5500,67.1851480181,79.0767686904,54.2243083004,36.1194779116,50.7369472895,61.3836477987,76.0696517413,73.6763609247,86.4898674006,70.7893413776,65.575,65.5751519453
Train:6000,70.8981435023,80.2308078274,52.1739130435,54.3423694779,50.6620034974,60.8805031447,72.3134328358,75.7892120308,77.4831123343,73.2277526395,66.7875,66.8001250333
Train:6500,69.1169091821,81.1088810838,52.766798419,48.343373494,57.5568323757,58.9685534591,79.4278606965,71.8369376087,82.9872404303,76.6968325792,67.8725,67.8810219328
Train:7000,71.3998996488,79.3276467637,55.6324110672,45.7580321285,54.8838371222,63.5974842767,82.4378109453,70.5692269451,79.3845384038,80.7189542484,68.3625,68.370984155
Train:7500,74.0592072253,83.5423983944,44.3922924901,50.0251004016,65.3010242318,57.106918239,70.8955223881,78.5483470047,85.8393795347,79.1101055807,68.86,68.882029549
Train:8000,64.2749623683,86.8038133467,64.8468379447,44.4277108434,55.5583312516,58.3647798742,84.2288557214,67.3626646781,82.6619964974,76.8225238813,68.5425,68.5352476407
Train:8500,71.6758655294,71.801304566,55.5830039526,48.0170682731,60.8293779665,67.5471698113,80.6467661692,74.6209296545,83.6127095321,84.3137254902,69.855,69.8647920945
Train:9000,72.729553437,82.9653788259,55.0889328063,53.765060241,65.7257057207,66.1132075472,61.7910447761,76.3360676112,84.4883662747,84.8667672197,70.3625,70.387008446
Train:9500,82.664325138,81.2594079277,50.6422924901,51.3303212851,64.7764176867,51.7232704403,87.3383084577,76.6343524733,77.733299975,81.0708898944,70.51,70.5172885768
Train:10000,65.2784746613,82.9904666332,57.8804347826,48.1676706827,76.5425930552,61.0314465409,80.4726368159,75.6897837435,81.836377283,86.5258924082,71.6375,71.6415776607
valid:0,0.788954635108,0.0,17.6470588235,3.74015748031,25.3761283852,0.292682926829,2.04081632653,6.85772773797,1.09670987039,46.0861056751,10.39,10.3926341861
valid:500,37.573964497,59.7633136095,25.3151260504,25.7874015748,50.852557673,35.8048780488,45.0,48.1064483112,70.7876370887,43.4442270059,44.29,44.2435553859
valid:1000,57.0019723866,76.6272189349,29.7268907563,31.4960629921,37.9137412237,21.9512195122,70.5102040816,50.6653019447,68.594217348,43.9334637965,48.84,48.8420292977
valid:1500,59.3688362919,60.650887574,41.3865546218,44.5866141732,41.6248746239,20.6829268293,69.4897959184,62.5383828045,54.037886341,66.8297455969,52.08,52.1196504775
valid:2000,64.8915187377,70.9072978304,41.8067226891,35.9251968504,45.7372116349,31.6097560976,69.1836734694,58.1371545548,67.3978065803,62.6223091977,54.82,54.8218647642
valid:2500,61.6370808679,75.1479289941,45.3781512605,35.4330708661,50.3510531595,36.0975609756,57.9591836735,65.4042988741,78.0658025922,51.0763209393,55.63,55.6550452203
valid:3000,61.5384615385,64.0039447732,51.8907563025,35.6299212598,37.5125376128,50.7317073171,68.5714285714,61.8219037871,74.9750747757,63.7964774951,57.03,57.0472213433
valid:3500,60.2564102564,63.4122287968,37.6050420168,31.4960629921,52.1564694082,60.3902439024,64.693877551,63.7666325486,78.963110668,73.6790606654,58.73,58.6419138806
valid:4000,71.5976331361,73.7672583826,42.9621848739,40.157480315,44.1323971916,51.6097560976,66.0204081633,63.0501535312,73.5792622134,59.0998043053,58.65,58.597633821
valid:4500,64.7928994083,74.9506903353,41.1764705882,35.6299212598,58.3751253761,61.6585365854,62.9591836735,66.5301944729,70.887337986,67.0254403131,60.48,60.3985799999
valid:5000,58.6785009862,69.9211045365,40.6512605042,34.4488188976,53.259779338,62.6341463415,71.3265306122,67.758444217,70.887337986,71.8199608611,60.2,60.138588428
valid:5500,63.8067061144,75.1479289941,50.8403361345,31.0039370079,43.4302908726,55.8048780488,69.0816326531,67.9631525077,82.0538384845,65.2641878669,60.44,60.4396888684
valid:6000,67.7514792899,74.9506903353,48.6344537815,48.031496063,43.7311935807,55.2195121951,65.306122449,71.033776868,73.3798604187,67.5146771037,61.6,61.5553262085
valid:6500,64.9901380671,75.8382642998,48.6344537815,40.9448818898,49.147442327,53.4634146341,72.6530612245,65.1995905834,79.6610169492,71.6242661448,62.25,62.2156529901
valid:7000,67.4556213018,73.3727810651,51.1554621849,38.7795275591,46.3390170512,57.4634146341,74.7959183673,64.790174002,74.5762711864,74.8532289628,62.39,62.3581416315
valid:7500,70.315581854,76.7258382643,40.6512605042,42.7165354331,57.372116349,51.4146341463,64.4897959184,72.7737973388,79.8604187438,71.1350293542,62.82,62.7455007906
valid:8000,58.7771203156,81.3609467456,60.3991596639,35.0393700787,46.3390170512,52.7804878049,79.387755102,59.4677584442,76.9690927218,68.8845401174,61.9,61.9405248045
valid:8500,66.3708086785,64.9901380671,53.3613445378,38.9763779528,50.6519558676,60.5853658537,72.5510204082,68.6796315251,77.1684945165,79.060665362,63.26,63.2395802769
valid:9000,67.8500986193,76.3313609467,48.9495798319,43.9960629921,55.7673019057,57.6585365854,53.2653061224,69.0890481064,78.6640079761,78.2778864971,63.08,62.9849189583
valid:9500,78.2051282051,74.5562130178,48.2142857143,39.1732283465,55.2657973922,45.9512195122,80.2040816327,69.8055271238,70.3888334995,72.8962818004,63.47,63.4660596244
valid:10000,59.8619329389,76.134122288,51.9957983193,38.0905511811,64.7943831494,53.9512195122,72.1428571429,67.758444217,75.7726819541,77.2015655577,63.78,63.7703556261
Train:SEED1901,70.928248871,80.9106874059,54.3231225296,48.0296184739,60.2573070197,60.6716981132,77.5621890547,74.1063882675,82.2516887666,79.4142785319,68.8365,68.8455227034
Valid:SEED1901,66.5384615385,74.9408284024,50.2836134454,39.6751968504,51.2838515547,54.4292682927,70.387755102,67.6560900716,76.8494516451,72.6712328767,62.499,62.4715749779
