,0,1,2,3,4,5,6,7,8,9,Total,Balance
valid:6500,99.4897959184,99.5594713656,99.1279069767,99.504950495,98.4725050916,98.8789237668,98.9561586639,97.6653696498,98.6652977413,98.5133795837,98.89,98.8833759253
valid:7000,99.4897959184,100.0,99.3217054264,99.0099009901,98.6761710794,97.7578475336,99.2693110647,96.4007782101,98.4599589322,96.7294350842,98.53,98.5114904239
valid:7500,99.1836734694,99.295154185,99.1279069767,98.7128712871,99.083503055,98.9910313901,99.4780793319,99.3190661479,98.5626283368,97.3240832507,98.91,98.9077997431
valid:8000,99.693877551,99.7356828194,99.3217054264,97.4257425743,98.7780040733,99.3273542601,98.3298538622,97.7626459144,98.4599589322,98.7115956392,98.76,98.7546421053
valid:8500,99.387755102,99.6475770925,99.4186046512,99.504950495,98.4725050916,99.3273542601,98.3298538622,99.0272373541,98.9733059548,98.5133795837,99.07,99.0602523447
valid:9000,99.1836734694,99.6475770925,99.6124031008,99.1089108911,98.5743380855,99.2152466368,99.4780793319,98.9299610895,98.7679671458,98.9098116947,99.15,99.1427968538
valid:9500,99.5918367347,99.6475770925,98.5465116279,99.1089108911,98.3706720978,98.9910313901,98.7473903967,98.5408560311,98.9733059548,98.6124876115,98.92,98.9130579828
valid:10000,99.387755102,99.295154185,98.6434108527,99.702970297,98.2688391039,98.6547085202,99.0605427975,99.2217898833,99.1786447639,99.1080277502,99.06,99.0521843256
Train:SEED8913,99.626,99.554,98.826,98.454,98.996,99.082,99.492,98.698,98.288,98.234,98.925,98.925
Valid:SEED8913,99.3979591837,99.6211453744,98.9728682171,98.7623762376,98.5947046843,98.8004484305,98.8413361169,98.219844358,98.6036960986,98.1764122894,98.808,98.799079099
