,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,100.0,5000.0,4958.0,5000.0,4842.0,4421.0,4918.0,5000.0,4851.0,4949.0,44039.0,44039.0
Valid:Num,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,10000.0
Train:SEED5934,88.3,99.274,99.0925626516,98.83,99.0405293631,98.7358405075,99.6254071661,99.056,98.9391124871,98.5075834176,98.9023365653,97.9401035593
Valid:SEED5934,87.66,99.25,99.0872352466,98.712,98.909445823,98.6909922972,99.5920521173,98.974,98.8975438596,98.4485844287,96.938,96.938
Train:SEED5742,95.8,99.686,99.5937752627,99.444,99.4623655914,99.5333031264,99.7455211726,99.562,99.3890608875,99.2517694641,99.4223302073,99.1467795505
Valid:SEED5742,94.89,99.658,99.5581325788,99.318,99.4116542597,99.4486135025,99.6979153094,99.478,99.3144685243,99.1744590495,97.699,97.699
Train:SEED8759,97.9,99.752,99.8039611964,99.61,99.6629445823,99.6465790666,99.8900651466,99.792,99.4984520124,99.5530839232,99.5985376598,99.5109085927
Valid:SEED8759,96.37,99.708,99.726087308,99.506,99.5505045492,99.5614997734,99.8363517915,99.706,99.4062435501,99.4516177958,97.663,97.663
Train:SEED6349,99.5,99.804,99.87065481,99.704,99.7580645161,99.7507929316,99.8737785016,99.852,99.7275541796,99.6157735086,99.6843706715,99.7456618448
Valid:SEED6349,98.52,99.764,99.8367178658,99.614,99.6687427626,99.6598550068,99.808029316,99.74,99.6364499484,99.4980182002,97.914,97.914
Train:SEED6782,99.3,99.884,99.9373484236,99.796,99.7890818859,99.8255550521,99.9226384365,99.868,99.8410732714,99.7917087968,99.7613478962,99.7955405866
Valid:SEED6782,98.2,99.846,99.8813904608,99.712,99.695624483,99.7123516085,99.850781759,99.752,99.7655211558,99.6678867543,97.893,97.893
Train:All,96.16,99.68,99.6596604689,99.4768,99.5425971878,99.4984141368,99.8114820847,99.626,99.4790505676,99.343983822,99.7613478962,99.7955405866
Valid:All,95.128,99.6452,99.617912692,99.3724,99.4471943755,99.4146624377,99.7570260586,99.53,99.4040454076,99.2481132457,97.893,97.893
Train:0,0.0,0.64,0.202101859337,40.56,0.0,0.0453103760761,0.305374592834,37.82,15.2941176471,1.98179979778,10.9380321987,9.68487042731
Train:500,0.0,97.96,88.1770412288,91.54,96.9189412738,90.5980969642,96.9666123779,92.82,91.0010319917,90.0101112235,92.6179068553,83.599183506
Train:1000,10.0,97.76,94.6645109135,95.74,96.2365591398,98.0289986407,97.5977198697,95.56,94.9432404541,96.4812942366,96.0353323191,87.7012323254
Train:1500,40.0,98.2,96.9684721099,98.0,96.6501240695,97.3946533756,98.493485342,95.9,96.3054695562,97.2699696663,97.0276345966,91.518217412
Train:2000,67.0,98.72,97.7768795473,96.76,97.8494623656,97.9836882646,99.1245928339,96.5,97.7915376677,96.5621840243,97.5112968051,94.6068344703
Train:2500,76.0,98.74,98.0598221504,97.94,96.1331679074,98.6859990938,98.4527687296,97.62,97.5851393189,98.2608695652,97.8019482731,95.7477766765
Train:3000,78.0,98.82,98.0800323363,97.94,98.5318444996,98.5274127775,99.3078175896,98.42,97.5851393189,97.2093023256,98.1334726038,96.2421548847
Train:3500,83.0,98.36,98.5448666128,97.8,97.994210091,98.5953783416,99.2263843648,97.76,98.617131063,98.3619817998,98.2356547606,96.8259952273
Train:4000,88.0,99.3,98.4033953112,98.2,98.6972704715,98.1649297689,99.2060260586,98.38,98.8235294118,97.8159757331,98.4468312178,97.4991126755
Train:4500,82.0,99.34,98.4236054972,98.52,98.9247311828,98.3008608971,99.3688925081,97.94,98.5758513932,98.564206269,98.5399305161,96.9958147747
Train:5000,86.0,99.26,98.7469684721,98.68,98.3664185277,98.7766198459,99.7149837134,98.66,98.1630546956,98.7057633974,98.6716319626,97.5073808652
Train:5500,89.0,99.02,98.8884397736,99.14,98.6559139785,98.6406887177,99.5317589577,98.6,98.6584107327,98.4630940344,98.7374826858,97.8598306195
Train:6000,90.0,98.52,99.090541633,98.78,98.8626964433,98.0969642048,99.6539087948,99.1,98.5139318885,98.4833164813,98.6897976793,97.9101359446
Train:6500,84.0,99.32,99.1107518189,98.74,98.5732009926,98.5953783416,99.674267101,98.94,99.2156862745,98.4833164813,98.8442062717,97.465260101
Train:7000,88.0,99.58,98.8480194018,98.9,99.0488006617,98.3688264613,99.6335504886,99.1,98.782249742,98.4428715875,98.8623719885,97.8704318343
Train:7500,88.0,99.34,99.1915925627,98.16,99.1315136476,98.7539646579,99.5317589577,99.06,99.2776057792,98.0990899899,98.8373941279,97.8545525595
Train:8000,90.0,99.1,98.7267582862,98.64,99.3382961125,98.5500679656,99.8778501629,99.1,99.0092879257,98.1597573306,98.8396648425,98.0502017783
Train:8500,92.0,99.48,99.3330638642,99.2,98.8213399504,99.1391028546,99.5928338762,99.1,98.7616099071,98.7462082912,99.0281341538,98.4174158744
Train:9000,89.0,99.22,99.2926434923,98.74,99.4210090984,98.799275034,99.57247557,99.24,99.1124871001,98.4226491405,98.9827198619,98.0820539435
Train:9500,86.0,99.62,99.090541633,99.12,99.4416873449,99.3656547349,99.5521172638,98.9,98.8441692466,98.6855409505,99.0599241581,97.8619711174
Train:10000,87.0,99.54,99.3532740501,98.88,99.1108354012,99.0484821024,99.6335504886,99.42,99.2156862745,99.0899898888,99.1416698835,98.0291818206
valid:0,0.0,0.7,0.1,38.1,0.0,0.1,0.0,38.2,13.5,1.8,9.25,9.25
valid:500,0.0,98.5,88.3,91.9,96.1,89.7,96.8,93.1,93.0,90.8,83.82,83.82
valid:1000,5.0,98.3,94.4,95.2,95.6,97.6,97.6,96.1,95.6,96.6,87.2,87.2
valid:1500,35.0,98.9,96.7,97.6,96.1,96.7,98.1,95.9,96.4,97.0,90.84,90.84
valid:2000,61.5,98.8,97.5,95.9,97.4,97.7,98.9,96.9,98.0,96.4,93.9,93.9
valid:2500,70.5,99.0,97.6,96.9,94.9,98.5,97.9,97.8,97.8,98.2,94.91,94.91
valid:3000,72.9,99.0,97.8,97.1,97.8,98.1,99.3,98.3,97.7,96.9,95.49,95.49
valid:3500,73.9,98.9,98.4,96.9,97.0,98.4,98.9,97.9,98.6,97.7,95.66,95.66
valid:4000,80.7,99.2,98.1,97.6,97.9,97.8,98.9,98.2,98.6,97.7,96.47,96.47
valid:4500,72.0,99.3,97.8,98.1,97.7,97.9,98.9,97.6,98.7,98.1,95.61,95.61
valid:5000,79.2,99.4,98.5,98.1,97.8,98.5,99.6,98.4,98.2,97.9,96.56,96.56
valid:5500,80.4,99.3,98.6,98.5,97.6,98.2,99.1,98.4,98.6,97.9,96.66,96.66
valid:6000,83.7,99.0,99.0,98.2,98.3,97.8,99.3,98.9,98.7,98.3,97.12,97.12
valid:6500,77.5,99.2,98.9,98.1,97.2,98.6,99.2,98.7,99.1,97.8,96.43,96.43
valid:7000,80.4,99.4,98.5,98.6,98.2,98.3,99.6,98.9,98.7,98.0,96.86,96.86
valid:7500,81.9,99.2,99.3,97.5,98.3,98.8,99.2,98.8,98.7,97.3,96.9,96.9
valid:8000,84.7,99.2,98.8,97.9,98.5,98.4,99.8,98.6,98.7,97.8,97.24,97.24
valid:8500,85.4,99.5,99.2,98.8,97.4,98.7,98.8,98.8,98.5,98.2,97.33,97.33
valid:9000,82.8,99.1,99.0,98.0,98.7,98.2,99.1,98.7,98.8,97.7,97.01,97.01
valid:9500,81.7,99.2,98.9,98.7,98.9,98.6,98.9,98.4,98.5,98.0,96.98,96.98
valid:10000,80.6,99.3,99.3,97.7,97.8,98.6,99.3,98.6,98.8,98.5,96.85,96.85
