,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,4932.0,5678.0,4968.0,5101.0,4859.0,4506.0,4951.0,5175.0,4842.0,4988.0,50000.0,50000.0
Valid:Num,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,10000.0
Train:SEED8977,86.9606650446,97.2631208172,77.3107890499,80.1529111939,44.5853056184,34.7802929427,63.6861240154,75.9149758454,46.9599339116,68.1595829992,68.4596,67.5773701438
Valid:SEED8977,86.8804991067,97.3144897732,77.8219148002,80.3385800995,44.90931763,35.1601507644,64.0070394102,76.2813987502,47.3195372175,68.3669506086,70.784,70.2155742648
Train:SEED2207,96.6119221411,96.7611835153,81.8719806763,78.8178788473,89.2158880428,75.0088770528,89.36578469,87.8685990338,61.955803387,70.8981555734,83.1396,82.837607296
Valid:SEED2207,96.5852772274,96.7886871105,82.2220758308,79.1104333245,89.4159216665,75.0872643397,89.6887950728,88.0554181625,62.3826679259,70.9727716968,85.013,84.843724918
Train:All,91.7862935929,97.0121521663,79.5913848631,79.4853950206,66.9005968306,54.8945849978,76.5259543527,81.8917874396,54.4578686493,69.5288692863,83.1396,82.837607296
Valid:All,91.7328881671,97.0515884419,80.0219953155,79.724506712,67.1626196482,55.123707552,76.8479172415,82.1684084563,54.8511025717,69.6698611527,85.013,84.843724918
