,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,10.0,5000.0,4958.0,5000.0,4842.0,4421.0,4918.0,5000.0,4851.0,4949.0,43949.0,43949.0
Valid:Num,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,10000.0
Train:SEED2826,0.0,99.29,98.9409862571,98.604,98.858560794,98.6163949275,99.3217922607,98.834,98.4073538525,98.4511034622,98.6843841726,88.9324191554
Valid:SEED2826,0.0,99.294,98.9701212611,98.588,98.8230024814,98.5737681159,99.3347454175,98.8,98.3743462095,98.342956064,88.718,88.718
Train:SEED1005,17.0,99.586,99.4442198868,99.33,99.3362282878,99.2708333333,99.6191446029,99.484,99.2460235489,99.0787608828,99.249584746,91.1395210542
Valid:SEED1005,15.41,99.59,99.3988924818,99.28,99.2075516956,99.1961231884,99.5917311609,99.448,99.2017971493,99.0112796113,89.391,89.391
Train:SEED5403,48.0,99.714,99.6806790622,99.62,99.4561621175,99.5018115942,99.8309572301,99.688,99.5372856848,99.4675035432,99.4898632506,94.4496399232
Valid:SEED5403,43.66,99.698,99.616952304,99.592,99.3206038048,99.4135144928,99.8115071283,99.618,99.4551249742,99.3858493622,90.567,90.567
Train:SEED617,68.0,99.84,99.7918350849,99.736,99.6112489661,99.7124094203,99.8594704684,99.828,99.6550299525,99.5646892083,99.6156909145,96.5598683101
Valid:SEED617,63.67,99.838,99.7400242522,99.64,99.538808933,99.6250543478,99.8357637475,99.698,99.548080975,99.4549362219,91.634,91.634
Train:SEED8261,67.0,99.888,99.8464025869,99.79,99.7394540943,99.825634058,99.8961303462,99.83,99.7397231977,99.653776068,99.682359098,96.5209120351
Valid:SEED8261,62.34,99.852,99.7844866613,99.71,99.6701323408,99.7314855072,99.8781670061,99.728,99.5965771535,99.5261712897,91.852,91.852
Train:All,40.0,99.6636,99.5408245756,99.416,99.4003308519,99.3854166667,99.7054989817,99.5328,99.3170832473,99.2431666329,99.682359098,96.5209120351
Valid:All,37.016,99.6544,99.5020953921,99.362,99.3120198511,99.3079891304,99.6903828921,99.4584,99.2351852923,99.1442385098,91.852,91.852
