,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,4932.0,5678.0,4968.0,5101.0,4859.0,4506.0,4951.0,5175.0,4842.0,4988.0,50000.0,50000.0
Valid:Num,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,10000.0
Train:SEED7261,99.7161394972,99.5685100387,98.8184380032,99.0452852382,99.2385264458,98.9636040834,99.5213088265,99.0782608696,98.9859562164,98.8753007217,99.1876,99.1811329941
Valid:SEED7261,99.6879416779,99.5814143495,98.7778143756,99.0731038841,99.1741934349,98.8092161271,99.5158154882,99.0932500111,98.9401417806,98.7537728425,98.877,98.8559649807
Train:All,99.7161394972,99.5685100387,98.8184380032,99.0452852382,99.2385264458,98.9636040834,99.5213088265,99.0782608696,98.9859562164,98.8753007217,99.1876,99.1811329941
Valid:All,99.6879416779,99.5814143495,98.7778143756,99.0731038841,99.1741934349,98.8092161271,99.5158154882,99.0932500111,98.9401417806,98.7537728425,98.877,98.8559649807
Train:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52173913043,62.6600578273,0.0,6.536,6.71817969578
Train:500,98.7429034874,97.8865797816,84.923510467,90.7077043717,95.1224531797,87.8606302708,96.0210058574,90.6086956522,86.8855844692,81.134723336,91.104,90.9893790873
Train:1000,97.6682887267,97.2701655513,97.1014492754,94.3148402274,95.4928997736,95.9609409676,98.828519491,96.38647343,96.3444857497,95.629510826,96.51,96.4997574019
Train:1500,99.0673154907,97.9922507925,97.5845410628,97.0790041168,97.6538382383,97.2924988904,98.9901030095,96.9468599034,96.5097067328,97.8348035285,97.7,97.6950921766
Train:2000,99.4322789943,98.6791123635,98.1280193237,97.0790041168,98.7240172875,99.2010652463,98.6265400929,98.4541062802,96.1999173895,96.9526864475,98.146,98.1476747542
Train:2500,99.5742092457,99.1546319126,98.4299516908,97.8827680847,96.9335254168,98.3133599645,98.9901030095,97.7777777778,96.3857909955,98.3360064154,98.194,98.1778124513
Train:3000,99.2092457421,98.6791123635,98.7520128824,98.3532640659,98.5799547232,99.0013315579,99.0506968289,98.7053140097,97.0673275506,97.6142742582,98.502,98.5012533982
Train:3500,99.3309002433,98.9432898908,97.9871175523,97.9807880808,98.4358921589,97.0705725699,99.2324782872,99.1111111111,97.4390747625,98.6367281476,98.44,98.4167952804
Train:4000,99.2092457421,99.6829869672,98.1481481481,99.0394040384,98.5593743569,98.6462494452,99.5960412038,97.7391304348,98.8021478728,98.7169206095,98.824,98.8139648819
Train:4500,98.803730738,98.8728425502,99.4766505636,98.6277200549,97.818481169,98.6462494452,99.6162391436,97.3719806763,98.6782321355,99.15797915,98.706,98.7070105626
Train:5000,99.1889699919,99.7182106375,97.9468599034,98.7845520486,98.5387939905,99.4007989348,99.5556453242,98.9758454106,97.70755886,98.4161988773,98.834,98.8233433979
Train:5500,99.4931062449,99.7182106375,97.5040257649,98.7061360518,99.1150442478,96.2050599201,99.0910927085,99.4202898551,97.9553903346,98.7971130714,98.642,98.6005468837
Train:6000,99.7364152474,99.8238816485,97.6449275362,98.3532640659,99.5472319407,99.2676431425,99.7172288427,98.9758454106,98.9673688558,98.275862069,99.036,99.0309668759
Train:6500,99.6350364964,99.2426910884,98.8929146538,99.2354440306,99.3414282774,99.2010652463,99.3132700465,99.0724637681,99.5043370508,98.4562951083,99.188,99.1894945767
Train:7000,99.8377939984,99.7005988024,99.114331723,99.1962360322,99.4031693764,98.579671549,99.4950515047,97.3913043478,99.0706319703,98.9975942261,99.084,99.078638353
Train:7500,99.9391727494,99.1017964072,99.4766505636,98.9609880416,98.5799547232,99.6449178873,99.3940618057,99.0531400966,99.111937216,99.0978348035,99.23,99.2360454294
Train:8000,99.7566909976,99.7005988024,98.5104669887,99.3138600274,99.0327227825,99.3120284066,99.6162391436,99.1884057971,99.4217265593,99.0176423416,99.292,99.2870381847
Train:8500,99.5539334955,99.6477632969,98.731884058,99.2550480298,99.3414282774,99.2010652463,99.6364370834,99.61352657,99.0499793474,98.9574979952,99.306,99.29885634
Train:9000,99.6147607461,99.5244804509,99.4162640902,99.1178200353,99.0533031488,99.6671105193,99.6970309028,99.1884057971,98.5956216439,99.2983159583,99.318,99.3173113293
Train:9500,99.7161394972,99.542092286,99.4967793881,98.9805920408,99.6501337724,99.0901020861,99.8182185417,99.3043478261,99.111937216,98.6166800321,99.336,99.3327022686
Train:10000,99.8783454988,99.6829869672,99.3961352657,99.3334640267,99.3208479111,99.4673768309,99.4344576853,99.5748792271,99.0706319703,99.2381716119,99.444,99.4397296995
valid:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76146788991,65.9068384539,0.0,7.06,6.96683063438
valid:500,98.9909182644,98.4962406015,87.1717171717,92.8155339806,95.4221770092,86.7759562842,96.5873836608,92.2935779817,87.4132804757,83.0385015609,92.0,91.9005286991
valid:1000,97.7800201816,97.7443609023,97.9797979798,96.6990291262,95.2187182096,94.3169398907,98.8624612203,97.4311926606,96.3330029732,95.3173777315,96.8,96.7682900876
valid:1500,99.2936427851,97.7443609023,98.2828282828,98.4466019417,97.2533062055,94.8633879781,99.1726990693,97.7064220183,96.828543112,97.1904266389,97.7,97.6782218934
valid:2000,99.5963673058,99.2481203008,98.2828282828,98.0582524272,98.5757884028,98.1420765027,98.7590486039,98.7155963303,97.0267591675,96.5660770031,98.31,98.2970914327
valid:2500,99.4954591322,99.3421052632,98.3838383838,98.932038835,95.8290946083,97.1584699454,99.1726990693,98.0733944954,97.0267591675,97.8147762747,98.14,98.1228635175
valid:3000,99.0918264379,99.0601503759,98.8888888889,99.1262135922,98.1688708037,97.4863387978,99.1726990693,98.7155963303,97.9187314172,97.0863683663,98.49,98.471568408
valid:3500,98.7891019173,99.0601503759,98.0808080808,98.3495145631,97.6602238047,94.4262295082,99.379524302,98.9908256881,97.7205153617,98.02289282,98.09,98.0479786422
valid:4000,99.1927346115,99.8120300752,98.2828282828,99.3203883495,98.0671414039,96.9398907104,100.0,98.2568807339,98.810703667,98.02289282,98.69,98.6705490654
valid:4500,98.2845610494,99.2481203008,99.696969697,99.4174757282,97.4567650051,96.8306010929,99.8965873837,98.4403669725,98.7115956392,98.1269510926,98.63,98.6109993961
valid:5000,99.0918264379,99.6240601504,98.1818181818,99.1262135922,97.7619532045,97.8142076503,99.7931747673,99.4495412844,97.621407334,97.6066597294,98.63,98.6070862332
valid:5500,99.2936427851,99.8120300752,97.7777777778,98.640776699,98.8809766022,95.0819672131,98.7590486039,99.6330275229,98.2160555005,98.02289282,98.46,98.41181956
valid:6000,99.4954591322,99.7180451128,97.7777777778,98.7378640777,98.8809766022,98.2513661202,99.7931747673,99.2660550459,98.5133795837,96.9823100937,98.76,98.7416408313
valid:6500,99.2936427851,99.4360902256,98.5858585859,99.4174757282,98.6775178026,97.8142076503,99.4829369183,99.1743119266,99.1080277502,96.9823100937,98.82,98.7972379466
valid:7000,99.5963673058,99.8120300752,98.9898989899,99.3203883495,98.8809766022,97.1584699454,99.4829369183,97.4311926606,99.1080277502,97.8147762747,98.77,98.7595064872
valid:7500,99.7981836529,99.0601503759,99.3939393939,98.932038835,98.0671414039,98.5792349727,99.5863495346,99.1743119266,98.810703667,97.9188345473,98.94,98.932088831
valid:8000,99.2936427851,99.7180451128,98.6868686869,99.2233009709,97.8636826043,98.0327868852,99.689762151,99.3577981651,98.810703667,98.02289282,98.89,98.8699483848
valid:8500,99.4954591322,99.7180451128,98.3838383838,99.4174757282,98.7792472024,97.4863387978,99.689762151,99.7247706422,98.810703667,98.2310093652,99.0,98.9736650183
valid:9000,99.5963673058,99.7180451128,99.1919191919,99.3203883495,98.5757884028,98.6885245902,99.8965873837,99.3577981651,98.1169474727,98.2310093652,99.08,99.069337534
valid:9500,99.5963673058,99.4360902256,99.0909090909,98.7378640777,99.1861648016,97.5956284153,100.0,99.6330275229,98.810703667,97.6066597294,98.99,98.9693414836
valid:10000,99.5963673058,99.8120300752,98.9898989899,99.6116504854,98.6775178026,97.9234972678,99.379524302,99.7247706422,98.6124876115,98.02289282,99.06,99.0350637302
