,0,1,2,3,4,5,6,7,8,9,Total,Balance
Train:Num,100.0,5000.0,4958.0,5000.0,4842.0,4421.0,4918.0,5000.0,4851.0,4949.0,44039.0,44039.0
Valid:Num,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10000.0,10000.0
Train:SEED7858,90.2,99.22,99.0442513639,98.616,98.8629315692,98.5811269518,99.4870751069,98.976,98.6301652893,98.7049777418,98.7994731942,98.0322528023
Valid:SEED7858,89.77,99.198,98.9374055365,98.554,98.801155675,98.5344263408,99.4838896804,98.92,98.5128099174,98.6325738567,97.0,97.0
Train:SEED3231,93.8,99.624,99.5433420893,99.436,99.3487698987,99.3822131704,99.7496438022,99.496,99.3553719008,99.1683528936,99.3564794841,98.8903693755
Valid:SEED3231,93.4,99.592,99.493960396,99.382,99.3101178416,99.2727313872,99.7399979646,99.418,99.203553719,98.9831040065,97.618,97.618
Train:SEED3516,95.9,99.746,99.7858153162,99.598,99.4604093446,99.6809232858,99.8453083656,99.67,99.6301652893,99.5244840146,99.5635686551,99.2841105616
Valid:SEED3516,95.3,99.694,99.6599595878,99.506,99.3403638619,99.5839194388,99.837520863,99.558,99.4756198347,99.4266248482,97.923,97.923
Train:SEED2320,96.7,99.776,99.8403717923,99.786,99.6092619392,99.6718714641,99.9287604315,99.772,99.7272727273,99.7045730473,99.6634800972,99.4516111402
Valid:SEED2320,95.97,99.728,99.726433623,99.72,99.5002728964,99.5790269292,99.920972929,99.658,99.5620661157,99.5468312424,97.806,97.806
Train:SEED4845,97.6,99.852,99.8888664377,99.756,99.7415753566,99.8370672098,99.9430083452,99.84,99.8140495868,99.7733711048,99.7338722496,99.6045938041
Valid:SEED4845,97.0,99.804,99.7730107092,99.684,99.6625863138,99.733856076,99.9250437614,99.744,99.6581818182,99.6336058276,98.0,98.0
Train:All,94.84,99.6436,99.6205293999,99.4384,99.4045896217,99.4306404164,99.7907592103,99.5508,99.4314049587,99.3751517604,99.7338722496,99.6045938041
Valid:All,94.288,99.6032,99.5181539705,99.3692,99.3228993178,99.3407920344,99.7814850397,99.4596,99.282446281,99.2445479563,98.0,98.0
